NOTE: Some of these tickers may no longer be supported

ticker	Name	Exchange	type
BWPGBP=X	BWP/GBP	CCY	CURRENCY_PAIR
BTN=X	USD/BTN	CCY	CURRENCY_PAIR
29134332=X			CURRENCY_PAIR
BWPHUF=X	BWP/HUF	CCY	CURRENCY_PAIR
BND=X	USD/BND	CCY	CURRENCY_PAIR
BNDGBP=X	BND/GBP	CCY	CURRENCY_PAIR
BRLCAD=X	BRL/CAD	CCY	CURRENCY_PAIR
BRLRUB=X	BRL/RUB	CCY	CURRENCY_PAIR
BM.PA			CURRENCY_PAIR
BWPMUR=X	BWP/MUR	CCY	CURRENCY_PAIR
BAMGBP=X	BAM/GBP	CCY	CURRENCY_PAIR
BTNUSD=X	BTN/USD	CCY	CURRENCY_PAIR
BRLPEN=X	BRL/PEN	CCY	CURRENCY_PAIR
BWPTRY=X	BWP/TRY	CCY	CURRENCY_PAIR
BWPSEK=X	BWP/SEK	CCY	CURRENCY_PAIR
BMDDKK=X	BMD/DKK	CCY	CURRENCY_PAIR
GDEBQ.MDD			CURRENCY_PAIR
BWPAUD=X	BWP/AUD	CCY	CURRENCY_PAIR
BWPXDR=X	BWP/XDR	CCY	CURRENCY_PAIR
BHDXDR=X	BHD/XDR	CCY	CURRENCY_PAIR
BWPRUB=X	BWP/RUB	CCY	CURRENCY_PAIR
IDEBY.MDD			CURRENCY_PAIR
BRLCHF=X	BRL/CHF	CCY	CURRENCY_PAIR
BOB=X	USD/BOB	CCY	CURRENCY_PAIR
EOB.PA			CURRENCY_PAIR
BMDGBP=X	BMD/GBP	CCY	CURRENCY_PAIR
BRLDKK=X	BRL/DKK	CCY	CURRENCY_PAIR
BWPCHF=X	BWP/CHF	CCY	CURRENCY_PAIR
BRLMYR=X	BRL/MYR	CCY	CURRENCY_PAIR
BDTHKD=X	BDT/HKD	CCY	CURRENCY_PAIR
BDTCAD=X	BDT/CAD	CCY	CURRENCY_PAIR
BWPKES=X	BWP/KES	CCY	CURRENCY_PAIR
BWPCNY=X	BWP/CNY	CCY	CURRENCY_PAIR
BWPMYR=X	BWP/MYR	CCY	CURRENCY_PAIR
BRLHKD=X	BRL/HKD	CCY	CURRENCY_PAIR
BHDNZD=X	BHD/NZD	CCY	CURRENCY_PAIR
BRLTHB=X	BRL/THB	CCY	CURRENCY_PAIR
BWPPGK=X	BWP/PGK	CCY	CURRENCY_PAIR
BWPRSD=X	BWP/RSD	CCY	CURRENCY_PAIR
BAMEUR=X	BAM/EUR	CCY	CURRENCY_PAIR
BBDUSD=X	BBD/USD	CCY	CURRENCY_PAIR
BHDSAR=X	BHD/SAR	CCY	CURRENCY_PAIR
BWPZMW=X	BWP/ZMW	CCY	CURRENCY_PAIR
BWPBMD=X	BWP/BMD	CCY	CURRENCY_PAIR
BZDGBP=X	BZD/GBP	CCY	CURRENCY_PAIR
BWPOMR=X	BWP/OMR	CCY	CURRENCY_PAIR
BRLCNY=X	BRL/CNY	CCY	CURRENCY_PAIR
GDEBM.MDD	GDEBM.MDD	MDD	CURRENCY_PAIR
BWPRON=X	BWP/RON	CCY	CURRENCY_PAIR
BGNGBP=X	BGN/GBP	CCY	CURRENCY_PAIR
BOBUYU=X	BOB/UYU	CCY	CURRENCY_PAIR
BRLTRY=X	BRL/TRY	CCY	CURRENCY_PAIR
BHD=X	USD/BHD	CCY	CURRENCY_PAIR
BNDIDR=X	BND/IDR	CCY	CURRENCY_PAIR
BWPNOK=X	BWP/NOK	CCY	CURRENCY_PAIR
BTNGBP=X	BTN/GBP	CCY	CURRENCY_PAIR
BRLEUR=X	BRL/EUR	CCY	CURRENCY_PAIR
BWPTZS=X	BWP/TZS	CCY	CURRENCY_PAIR
BOBBRL=X	BOB/BRL	CCY	CURRENCY_PAIR
BZDCHF=X	BZD/CHF	CCY	CURRENCY_PAIR
BWPCLF=X	BWP/CLF	CCY	CURRENCY_PAIR
BWPBGN=X	BWP/BGN	CCY	CURRENCY_PAIR
BSDCAD=X	BSD/CAD	CCY	CURRENCY_PAIR
BNDUSD=X	BND/USD	CCY	CURRENCY_PAIR
BWPMWK=X	BWP/MWK	CCY	CURRENCY_PAIR
BWPZAR=X	BWP/ZAR	CCY	CURRENCY_PAIR
BWPHKD=X	BWP/HKD	CCY	CURRENCY_PAIR
BZD=X	USD/BZD	CCY	CURRENCY_PAIR
BWP=X	USD/BWP	CCY	CURRENCY_PAIR
BRLUYU=X	BRL/UYU	CCY	CURRENCY_PAIR
BGNCHF=X	BGN/CHF	CCY	CURRENCY_PAIR
ENDK.IR			CURRENCY_PAIR
BWPBHD=X	BWP/BHD	CCY	CURRENCY_PAIR
CHBEZ.SW	CHBEZ.SW	EBS	CURRENCY_PAIR
BBDEUR=X	BBD/EUR	CCY	CURRENCY_PAIR
BWPNAD=X	BWP/NAD	CCY	CURRENCY_PAIR
BIF=X	USD/BIF	CCY	CURRENCY_PAIR
BRLZAR=X	BRL/ZAR	CCY	CURRENCY_PAIR
BAMCHF=X	BAM/CHF	CCY	CURRENCY_PAIR
BDTSGD=X	BDT/SGD	CCY	CURRENCY_PAIR
BOBMXN=X	BOB/MXN	CCY	CURRENCY_PAIR
BWPKZT=X	BWP/KZT	CCY	CURRENCY_PAIR
BDT=X	USD/BDT	CCY	CURRENCY_PAIR
GDEBY.MDD			CURRENCY_PAIR
BWPXOF=X	BWP/XOF	CCY	CURRENCY_PAIR
BRLSGD=X	BRL/SGD	CCY	CURRENCY_PAIR
BSDGBP=X	BSD/GBP	CCY	CURRENCY_PAIR
BWPJOD=X	BWP/JOD	CCY	CURRENCY_PAIR
BBDCHF=X	BBD/CHF	CCY	CURRENCY_PAIR
BRLARS=X	BRL/ARS	CCY	CURRENCY_PAIR
BWPJPY=X	BWP/JPY	CCY	CURRENCY_PAIR
BNDCHF=X	BND/CHF	CCY	CURRENCY_PAIR
BRLILS=X	BRL/ILS	CCY	CURRENCY_PAIR
BWPPEN=X	BWP/PEN	CCY	CURRENCY_PAIR
BZDEUR=X	BZD/EUR	CCY	CURRENCY_PAIR
BWPPKR=X	BWP/PKR	CCY	CURRENCY_PAIR
BWPSGD=X	BWP/SGD	CCY	CURRENCY_PAIR
BMS.PA	BMS.PA	PAR	CURRENCY_PAIR
BWPAED=X	BWP/AED	CCY	CURRENCY_PAIR
BRLCOP=X	BRL/COP	CCY	CURRENCY_PAIR
BRLIDR=X	BRL/IDR	CCY	CURRENCY_PAIR
BWPCOP=X	BWP/COP	CCY	CURRENCY_PAIR
BWPKWD=X	BWP/KWD	CCY	CURRENCY_PAIR
BNDXDR=X	BND/XDR	CCY	CURRENCY_PAIR
BHDPKR=X	BHD/PKR	CCY	CURRENCY_PAIR
BNDDKK=X	BND/DKK	CCY	CURRENCY_PAIR
BWPCNH=X	BWP/CNH	CCY	CURRENCY_PAIR
BGNPLN=X	BGN/PLN	CCY	CURRENCY_PAIR
BHDUSD=X	BHD/USD	CCY	CURRENCY_PAIR
BHDQAR=X	BHD/QAR	CCY	CURRENCY_PAIR
BBDGBP=X	BBD/GBP	CCY	CURRENCY_PAIR
BWPCZK=X	BWP/CZK	CCY	CURRENCY_PAIR
BWPTHB=X	BWP/THB	CCY	CURRENCY_PAIR
BYR=X	USD/BYR	CCY	CURRENCY_PAIR
BWPLKR=X	BWP/LKR	CCY	CURRENCY_PAIR
BDTUSD=X	BDT/USD	CCY	CURRENCY_PAIR
BHDHKD=X	BHD/HKD	CCY	CURRENCY_PAIR
BWPSBD=X	BWP/SBD	CCY	CURRENCY_PAIR
BRLMXN=X	BRL/MXN	CCY	CURRENCY_PAIR
BWPKRW=X	BWP/KRW	CCY	CURRENCY_PAIR
BWPUGX=X	BWP/UGX	CCY	CURRENCY_PAIR
BWPUSD=X	BWP/USD	CCY	CURRENCY_PAIR
BAMUSD=X	BAM/USD	CCY	CURRENCY_PAIR
BTNEUR=X	BTN/EUR	CCY	CURRENCY_PAIR
BRLPYG=X	BRL/PYG	CCY	CURRENCY_PAIR
BWPTWD=X	BWP/TWD	CCY	CURRENCY_PAIR
BDTJPY=X	BDT/JPY	CCY	CURRENCY_PAIR
BOBEUR=X	BOB/EUR	CCY	CURRENCY_PAIR
BHDGBP=X	BHD/GBP	CCY	CURRENCY_PAIR
BGNEUR=X	BGN/EUR	CCY	CURRENCY_PAIR
BRLUSD=X	BRL/USD	CCY	CURRENCY_PAIR
BWPGHS=X	BWP/GHS	CCY	CURRENCY_PAIR
BRLSEK=X	BRL/SEK	CCY	CURRENCY_PAIR
BHDSGD=X	BHD/SGD	CCY	CURRENCY_PAIR
BAM=X	USD/BAM	CCY	CURRENCY_PAIR
BZDUSD=X	BZD/USD	CCY	CURRENCY_PAIR
BWPRWF=X	BWP/RWF	CCY	CURRENCY_PAIR
BGN=X	USD/BGN	CCY	CURRENCY_PAIR
IDEBQ.MDD			CURRENCY_PAIR
BBD=X	USD/BBD	CCY	CURRENCY_PAIR
IDEBM.MDD			CURRENCY_PAIR
BWPTND=X	BWP/TND	CCY	CURRENCY_PAIR
BWPILS=X	BWP/ILS	CCY	CURRENCY_PAIR
BRLKRW=X	BRL/KRW	CCY	CURRENCY_PAIR
