NOTE: Some of these tickers may no longer be supported

ticker	name	exchange	type
3BSF.DE	DAXGL.CH.AL.EN+ENV.PR.USD	GER	INDEX
^NQNA2000CADN	NASDAQ N America Inds CAD NTR I	NIM	INDEX
^NQEMEU3300CAD	NASDAQ EM Europe Auto & Parts C	NIM	INDEX
^YHOH800	^YHOH800		INDEX
SFC12T.SW	SBI For Corp AAA-AA T	EBS	INDEX
^NQUSB3747AUDN	NQ US Bnchmk Toys AUD NTR Index	NIM	INDEX
^NQDMASPA2300LMN	NASDAQ DM ASPA Constr & Matls L	NIM	INDEX
RNEL.FGI			INDEX
^NQASPA2300AUD	NASDAQ ASPA Constr & Matls AUD	NIM	INDEX
^NQDMASIA1700LMN	NASDAQ DM Asia Basic Resources	NIM	INDEX
^NQLA7000CAD	NASDAQ Lat America Utilities CA	NIM	INDEX
^NQPLLMAUDT	NASDAQ Poland Large Mid Cap AUD	NIM	INDEX
^NQCI3ACER	NASDAQ Commodity 3rd Front Agri	NIM	INDEX
WIPACXJA3350.FGI			INDEX
^NQZA8000LMJPYN	NASDAQ South Africa Financials	NIM	INDEX
^NQNAMCAUD	NASDAQ N America Mid Cap AUD In	NIM	INDEX
^DJAU	Dow Jones Australia Index	DJI	INDEX
^SPAU23	S&P Pan Asia BMI Real Estate (U	SNP	INDEX
^NQDMASPASCCADT	NASDAQ DM ASPA Small Cap CAD TR	NIM	INDEX
SATXEUR.VI			INDEX
^NQEM0001AUDN	NASDAQ Emerging Oil & Gas AUD N	NIM	INDEX
WIAMERS9530.FGI			INDEX
^NQLA3000LMEUR	NASDAQ Lat Am Cnsmr Goods Lg Md	NIM	INDEX
^NQAT8000N	The NASDAQ Austria Financials I	NIM	INDEX
^NQUSS5370AUDN	NQ US Sm Cap General Rtlrs AUD	NIM	INDEX
4465.DE			INDEX
^NQZASCGBPN	NASDAQ South Africa Small Cap G	NIM	INDEX
^NQNA1000LMJPY	NASDAQ N America Basic Matls Lg	NIM	INDEX
^DJCIAC	Dow Jones Commodity Index All C	DJI	INDEX
^NQDMASPA8300N	The NASDAQ DM ASPA Banks Indexe	NIM	INDEX
3BQ6.DE	DAXGL CHINA EUR P	GER	INDEX
^DJCIAWT	Dow Jones Commodity Index All W	DJI	INDEX
^SP500-30202010	S&P 500 Agricultural Products (	SNP	INDEX
D1AH.DE	ENTRY ALL SHS IND P	GER	INDEX
^NQEMASIA5700CADN	NASDAQ EM Asia Travel & Leisure	NIM	INDEX
KRXSECTOR-9.KS			INDEX
^NQNA2700LMJPY	NASDAQ N America Ind Goods&Svcs	NIM	INDEX
^NQNA1000EURT	NASDAQ N America Basic Matls EU	NIM	INDEX
CECEMUSD.VI			INDEX
D8TZ.DE	INAVISHPPLETCCHF	GER	INDEX
^NQEMASIA4000T	The NASDAQ EM Asia Health Care	NIM	INDEX
^NQUSL8600AUDN	NQ US Lg Cap Real Estate AUD NT	NIM	INDEX
^NQEU3300GBP	NASDAQ Europe Auto & Parts GBP	NIM	INDEX
^NQLA3000LMGBPT	NASDAQ Lat Am Cnsmr Goods Lg Md	NIM	INDEX
^NQID3000AUDN	NASDAQ Indonesia Cnsmr Goods AU	NIM	INDEX
CFNDEUR.VI			INDEX
^NQEMASIA2300N	The NASDAQ EM Asia Construction	NIM	INDEX
^NQUSB5751LMGBPT	NQ US Airlines Large Mid Cap G	NIM	INDEX
^NQDMMEA8300AUD	NASDAQ DM MEA Banks AUD Index	NIM	INDEX
^NQDMASIA3500EUR	NASDAQ DM Asia Food & Beverage	NIM	INDEX
AXX4500.L			INDEX
4NAD.DE	DAXSUB ALL WATR P	GER	INDEX
^NQLASC	The NASDAQ Latin America Small	NIM	INDEX
^NQPTLMAUDT	NASDAQ Portugal Large Mid Cap A	NIM	INDEX
^NQASIA2000LMGBPT	NASDAQ Asia Inds Large Mid Cap	NIM	INDEX
SFA57T.SW	SBI For AAA-A 5-7 T	EBS	INDEX
^NQASPA3700EURT	NASDAQ ASPA Psnl & Hhld Goods E	NIM	INDEX
^NQUSB9535LMAUD	NQ US Internet Large Mid Cap A	NIM	INDEX
^NQDMEU9000AUDN	NASDAQ DM Europe Tech AUD NTR I	NIM	INDEX
^NQZALCZAR	NASDAQ South Africa Large Cap Z	NIM	INDEX
^NQDMASIA6000JPYT	NASDAQ DM Asia Telecom JPY TR I	NIM	INDEX
0JGR.DE	INAVISMSCIEUSDHCHF	GER	INDEX
^NQASPASCAUD	NASDAQ ASPA Small Cap AUD Index	NIM	INDEX
^NQAU8000EURT	NASDAQ Australia Financials EUR	NIM	INDEX
^NQEMASIA2700EURT	NASDAQ EM Asia Ind Goods & Svcs	NIM	INDEX
^NQEMASIAMCGBPN	NASDAQ EM Asia Mid Cap GBP NTR	NIM	INDEX
^NQDMXUS2000AUDT	NASDAQ DM Ex US Industrials AUD	NIM	INDEX
AW01.FGI	FTSE All World Index	FGI	INDEX
^NQJP8300AUD	NASDAQ Japan Banks AUD Index	NIM	INDEX
^NQDMASIA9000LM	NASDAQ DM Asia Tech Large Mid C	NIM	INDEX
4MYJ.DE	INAV IS.MSC.FEXJSC ETF LS	GER	INDEX
^P1SUSTR	Dow Jones Sustainability Asia P	DJI	INDEX
^NQASPA1700LMGBPN	NASDAQ ASPA Basic Resources Lg	NIM	INDEX
^NQDMASPA3700AUDN	NASDAQ DM ASPA Psnl & Hhld Good	NIM	INDEX
^NQUSS3300AUD	NQ US Sm Cap Auto & Parts AUD I	NIM	INDEX
3BR2.DE	DAXGL CH FS USD P	GER	INDEX
^NQDMASIA1000GBP	NASDAQ DM Asia Basic Matls GBP	NIM	INDEX
^NQASPA1000EUR	NASDAQ ASPA Basic Matls EUR Ind	NIM	INDEX
^NQEMASIA2700CADT	NASDAQ EM Asia Ind Goods & Svcs	NIM	INDEX
WIAMERS4000.L			INDEX
^NQMEA3500AUDN	NASDAQ MEA Food & Beverage AUD	NIM	INDEX
SFS12D.SW	SBI For Sup AAA-AA D	EBS	INDEX
3952098.SG			INDEX
^NQNA3000LMGBPT	NASDAQ N America Cnsmr Goods Lg	NIM	INDEX
^NQCNMCAUD	NASDAQ China Mid Cap AUD Index	NIM	INDEX
^NQUSS2795EURT	NQ US Sm Cap Financial Admin EU	NIM	INDEX
^NQJP3300LMCADT	NASDAQ Japan Auto & Parts Lg Md	NIM	INDEX
^DJNAJO	Dow Jones North America Select	DJI	INDEX
SFF55Y.SW	SBI For AAA-AA 15+ Y	EBS	INDEX
^NQEMASIA3500GBP	NASDAQ EM Asia Food & Beverage	NIM	INDEX
SGCP2WV.Z			INDEX
^NQPTSCAUDN	NASDAQ Portugal Small Cap AUD N	NIM	INDEX
ICE9U.PA	AMUNDI CE9U INAV	PAR	INDEX
^NQEM0001AUDT	NASDAQ Emerging Oil & Gas AUD T	NIM	INDEX
EGAX.L			INDEX
^NQDMASPA8000GBP	NASDAQ DM ASPA Financials GBP I	NIM	INDEX
^NQNO3000AUDN	NASDAQ Norway Cnsmr Goods AUD N	NIM	INDEX
SD105P.SW	SBI Dom AAA-BBB 10-15 P	EBS	INDEX
^NQZA3000ZAR	NASDAQ South Africa Cnsmr Goods	NIM	INDEX
AEXLR.AS	AEX LOW RISK	AMS	INDEX
^NQUSB8570AUD	NQ US Bnchmk Life Ins AUD Index	NIM	INDEX
^NQAU5000CAD	NASDAQ Australia Cnsmr Svcs CAD	NIM	INDEX
